route,model,target_variant,macro_mean_mae,macro_median_mae,macro_mean_rmse,macro_median_rmse,macro_mean_r2,macro_median_r2,macro_mean_median_ae,macro_median_median_ae,worst_site_mae,worst_site_rmse,worst_site_r2,n_folds,ci95_low_mae,ci95_high_mae
CORE_CC,tabicl,raw,1.9245435487371836,1.5831516273960549,4.256366316221704,3.140069982325852,0.5057048934427141,0.5074056971631506,0.7870142783025105,0.684599215576172,3.4973660455328437,9.478361856782666,0.36979867779757114,6,1.2006211502164248,2.7465540081503326
EXTENDED_FOLD_IMPUTED,random_forest,log1p,1.9263631530375112,1.5274702826933018,4.283170428939299,2.8508365910564892,0.5325218018449589,0.5189256563472735,0.7442582668616637,0.6432679645634808,3.712841622334146,9.911636447882193,0.3108663314450263,6,1.1227359192421804,2.834522086135126
CORE_CC,tabdpt,raw,1.9422805419075135,1.5963659203175995,4.249566283415979,3.093715609052416,0.507516682538357,0.5034626234303832,0.8181397866611482,0.7393914360237123,3.5110946410614248,9.408550119986735,0.3790478345394276,6,1.2240643924307875,2.751943927835307
CORE_CC,elastic_net,raw,1.945941996567637,1.5549230886182084,4.197526408775742,2.9580269812140334,0.5138823191999307,0.498195131578706,0.9324334109137604,0.8301265602988293,3.4581138050266014,9.479377545427733,0.36966360749064553,6,1.257089411553675,2.7206454450620807
CORE_CC,ridge,raw,1.9492173998394875,1.5704120209973276,4.224302506393456,3.040627796501293,0.5031375319038919,0.4997491746529561,0.9338539520591742,0.8120879864342223,3.4899056206164953,9.471758436300757,0.3429731989763526,6,1.2413217666920962,2.7510465515171334
EXTENDED_FOLD_IMPUTED,elastic_net,raw,1.952541957651584,1.5249946107790096,4.184335520332323,2.9271138871856333,0.5206659323340984,0.5041057476771977,0.9734657145481217,0.7978658851977434,3.498648861728935,9.476398210502044,0.3700597702341135,6,1.2125508416995106,2.766648592507975
EXTENDED_FOLD_IMPUTED,hist_gradient_boosting,log1p,1.9753935695977176,1.5479245922826943,4.3546713402128665,2.871491455136184,0.5097148395457524,0.5064686907323496,0.7469143321409494,0.6464075846593209,3.842373386104948,9.966447398582556,0.30322349451288444,6,1.156517281269206,2.917674899956557
CORE_CC,hist_gradient_boosting,log1p,1.9874479860003873,1.5569435899165118,4.3706032966811135,2.8786682807368207,0.5108784769890846,0.5122991736526779,0.7368453567598584,0.6443588230367505,3.8205048146214486,10.00049316525352,0.2984549330577907,6,1.181742745438473,2.9201090561781005
EXTENDED_FOLD_IMPUTED,lightgbm,log1p,1.9895384272407235,1.535993695704584,4.387600827104676,2.8153840991527073,0.5061404200902786,0.528126460413355,0.7857676198704199,0.6529167496124266,3.8063537296713292,9.900250552875466,0.3124486931261623,6,1.155444699564763,2.9238626785895914
CORE_CC,extra_trees,raw,1.9938252432789125,1.5273302338015307,4.168598232189147,2.741141916980717,0.5457515823740349,0.567352615447501,0.875948447818676,0.7320357382666738,3.8034233748495847,9.632890541254826,0.34908243482856105,6,1.207919006898205,2.89887864316127
